TITLE,URL,RATE,PARAMS
"Киноа белая De La Sierra","https://rskrf.ru/goods/kinoa-belaya-de-la-sierra/","5.0","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 5.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 5.00|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Крупа киноа органическая Natura bio","https://rskrf.ru/goods/krupa-kinoa-organicheskaya-natura-bio/","4.8","Органолептика: 5.00|Достоверность маркировки: 4.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 5.00|Аминокислоты: 5.00|Маркировка: 4.00|Безопасность: 5.00|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа (Quinoa) белая Groseri","https://rskrf.ru/goods/kinoa-quinoa-belaya-groseri/","4.8","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 3.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.60|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Крупа киноа «Ашан»","https://rskrf.ru/goods/krupa-kinoa-ashan/","4.8","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 3.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.60|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа светлое «Здоровые детки»","https://rskrf.ru/goods/kinoa-svetloe-zdorovye-detki/","4.8","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 3.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.60|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Злаки киноа Vila Natura","https://rskrf.ru/goods/zlaki-kinoa-vila-natura/","4.7375","Органолептика: 5.00|Достоверность маркировки: 4.00|Микробиология: 5.00|Физико-химические показатели: 4.58|Витамины: 5.00|Пестициды: 5.00|Аминокислоты: 5.00|Маркировка: 4.00|Безопасность: 5.00|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 4.79|Потребительские свойства: 5.00"
"Зерно продовольственное киноа «ВкусВилл»","https://rskrf.ru/goods/zerno-prodovolstvennoe-kinoa-vkusvill/","4.7318","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 4.55|Витамины: 5.00|Пестициды: 3.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.60|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 4.77|Потребительские свойства: 5.00"
"Киноа «Националь»","https://rskrf.ru/goods/kinoa-natsional/","4.6","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.20|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа светлое «Оргтиум»","https://rskrf.ru/goods/kinoa-svetloe-orgtium/","4.6","Органолептика: 5.00|Достоверность маркировки: 4.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 3.00|Аминокислоты: 5.00|Маркировка: 4.00|Безопасность: 4.60|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа белая «Зеленая линия»","https://rskrf.ru/goods/kinoa-belaya-zelenaya-liniya/","4.56","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 4.60|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.12|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Семена киноа белые «Народная здрава»","https://rskrf.ru/goods/semena-kinoa-belye-narodnaya-zdrava/","4.56","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 4.60|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.12|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа белое «Мистраль»","https://rskrf.ru/goods/kinoa-beloe-mistral/","4.5375","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 4.58|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.20|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 4.79|Потребительские свойства: 5.00"
"Семена киноа белые Esoro","https://rskrf.ru/goods/semena-kinoa-belye-esoro/","4.51","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 0.10|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.02|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Крупа киноа Super","https://rskrf.ru/goods/krupa-kinoa-super/","4.51","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 0.10|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.02|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Крупа киноа «Агро-Альянс»","https://rskrf.ru/goods/krupa-kinoa-agro-alyans/","4.51","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 0.10|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 4.02|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа Bravolli","https://rskrf.ru/goods/kinoa-bravolli/","4.47","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 4.60|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 0.10|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 3.94|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа белая премиум, зерно «Продукты XXII века»","https://rskrf.ru/goods/kinoa-belaya-premium-zerno-produkty-xxii-veka/","3.6","Органолептика: 5.00|Достоверность маркировки: 0.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 0.00|Безопасность: 4.20|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа белое «Увелка»","https://rskrf.ru/goods/kinoa-beloe-uvelka/","3.6","Органолептика: 5.00|Достоверность маркировки: 0.00|Микробиология: 5.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 0.00|Безопасность: 4.20|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа белая «Здороведа»","https://rskrf.ru/goods/kinoa-belaya-zdoroveda/","2.5","Органолептика: 5.00|Достоверность маркировки: 5.00|Микробиология: 0.00|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 5.00|Безопасность: 0.00|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 5.00|Качество: 5.00|Потребительские свойства: 5.00"
"Киноа белая, зерно «Перуаночка»","https://rskrf.ru/goods/kinoa-belaya-zerno-peruanochka/","1.5","Органолептика: 5.00|Достоверность маркировки: 0.00|Микробиология: 4.60|Физико-химические показатели: 5.00|Витамины: 5.00|Пестициды: 1.00|Аминокислоты: 5.00|Маркировка: 0.00|Безопасность: 0.00|Микотоксины: 5.00|Незаменимые аминокислоты: 5.00|Заменимые аминокислоты: 5.00|Макроэлементы: 5.00|Микроэлементы: 5.00|Токсичные элементы и радионуклиды: 5.00|Вредители: 0.00|Качество: 5.00|Потребительские свойства: 5.00"
